Semester,Year,Section,Site,Dist_to_Burrow,Bareground,Grass,Yucca,Cactus,Other_Veg,Total_Percent_Veg
Spring,2017,Pre,North,5.6,43,22,0,0,35,57
Spring,2017,Pre,North,2,53,24,0,0,23,47
Spring,2017,Pre,North,7.3,4,96,0,0,0,96
Spring,2017,Pre,North,8.8,87,8,0,0,5,13
Spring,2017,Pre,North,3.2,75,3,0,0,22,25
Spring,2017,Pre,North,1,34,56,0,0,10,66
Spring,2017,Pre,North,2,49,21,0,0,30,51
Spring,2017,Pre,North,5.3,55,45,0,0,0,45
Spring,2017,Pre,North,4,31,52,0,0,17,69
Spring,2017,Pre,North,5.6,84,15,0,0,1,16
Spring,2017,Pre,North,18,96,2,0,0,2,4
Spring,2017,Pre,North,2,79,21,0,0,0,21
Spring,2017,Pre,North,7,71,0,0,0,29,29
Spring,2017,Pre,North,10,74,6,0,0,20,26
Spring,2017,Pre,North,5,72,3,0,0,25,28
Spring,2017,Pre,North,5,5,61,0,0,34,95
Spring,2017,Pre,North,15,71,5,0,0,24,29
Spring,2017,Pre,North,5,25,1,0,0,74,75
Spring,2017,Pre,North,12,13,75,0,0,12,87
Spring,2017,Pre,North,18,90,10,0,0,0,10
Spring,2017,Pre,North,2,48,27,0,0,25,52
Spring,2017,Pre,North,16,72,4,0,0,24,28
Spring,2017,Pre,North,9,41,7,0,0,52,59
Spring,2017,Pre,North,8,48,2,0,0,50,52
Spring,2017,Pre,North,9,59,10,0,0,31,41
Spring,2017,Pre,North,2,1,50,0,0,49,99
Spring,2017,Pre,North,1,35,62,0,0,3,65
Spring,2017,Pre,North,9,64,16,0,0,20,36
Spring,2017,Pre,North,4,38,12,0,0,50,62
Spring,2017,Pre,North,4,48,28,0,0,24,52
Spring,2017,Pre,North,11,81,16,0,0,3,19
Spring,2017,Pre,North,5,79,0,0,0,21,21
Spring,2017,Pre,North,1,55,40,0,0,5,45
Spring,2017,Pre,North,5,74,15,0,0,11,26
Spring,2017,Pre,North,2,74,0,0,0,26,26
Spring,2017,Pre,North,5,5,77,0,0,18,95
Spring,2017,Pre,North,3,90,0,0,0,10,10
Spring,2017,Pre,North,1,85,5,0,0,10,15
Spring,2017,Pre,North,5,74,3,0,0,23,26
Spring,2017,Pre,South,2,60,10,0,0,30,40
Spring,2017,Pre,South,1.5,40,20,0,0,40,60
Spring,2017,Pre,South,1,60,0,0,0,40,40
Spring,2017,Pre,South,1,0,98,0,0,2,100
Spring,2017,Pre,South,4,15,0,0,0,85,85
Spring,2017,Pre,South,1.5,62,0,0,0,38,38
Spring,2017,Pre,South,6,64,0,0,0,36,36
Spring,2017,Pre,South,6,83,0,0,0,17,17
Spring,2017,Pre,South,6.5,73,0,0,0,27,27
Spring,2017,Pre,South,0.5,80,0,0,0,20,20
Fall,2018,MonAM,North,3.0,65,18,0,0,17,35
Fall,2018,MonAM,North,3.0,40,36,0,0,24,60
Fall,2018,MonAM,North,9.0,57,4,0,0,39,43
Spring,2018,WedsAM,North,3.5,55,14,0,0,31,45
Spring,2018,WedsAM,North,6,61,10,0,0,29,39
Spring,2018,WedsAM,North,5.8,81,14,0,0,5,19
Spring,2018,WedsAM,North,1.9,45,16,0,0,39,55
spring,2018,WedsAM,North,2.4,82,1,0,0,17,18
Spring,2018,WedsAM,North,1,33,3,0,0,64,67
Spring,2018,WedsAM,North,1.7,81,0,0,0,19,19
Spring,2018,WedsAM,North,0.3,47,6,0,0,47,53
Spring,2018,WedsAM,North,0.4,49,4,22,0,25,51
Spring,2018,WedsAM,North,1,83,0,0,0,17,17
Fall,2018,ThursPM,North,3.0,30,30,0,0,40,70
Fall,2018,ThursPM,North,8.0,49,6,0,0,45,51
Fall,2018,ThursPM,North,2.5,49,17,0,0,34,51
Fall,2018,ThursPM,North,5.0,70,10,0,0,20,30
Fall,2018,ThursPM,North,15.0,75,0,0,0,25,25
Fall,2018,ThursPM,North,10.0,70,0,0,0,30,30
Fall,2018,ThursPM,North,7.0,75,0,0,0,25,25
Fall,2018,ThursPM,North,5.0,30,20,0,0,50,70
Fall,2018,ThursPM,North,5.0,85,0,0,0,15,15
Fall,2018,ThursPM,North,1.0,70,0,0,0,30,30
Fall,2018,ThursPM,North,1.0,26,0,0,0,74,74
Fall,2018,ThursPM,North,6.0,47,0,0,0,53,53
Fall,2018,ThursPM,North,5.0,70,15,0,0,15,30
Fall,2018,ThursPM,North,4.0,81,1,0,0,18,19
Fall,2018,ThursPM,North,1.0,34,1,0,0,65,66
Fall,2018,WedsAM,North,4.0,15,5,0,0,80,85
Fall,2018,WedsAM,North,7.0,80,0,0,0,20,20
Fall,2018,WedsAM,North,2.0,30,10,0,0,60,70
Fall,2018,WedsAM,North,2.0,60,0,0,0,40,40
Fall,2018,WedsAM,North,4.0,70,0,0,0,30,30
Fall,2018,WedsAM,North,3.0,20,0,0,0,80,80
Fall,2018,WedsAM,North,1.0,42,0,0,0,58,58
Fall,2018,WedsAM,North,0.5,95,0,0,0,5,5
Fall,2018,WedsAM,North,4.5,83,0,0,0,17,17
Fall,2018,WedsAM,North,5.0,60,0,0,0,40,40
Fall,2018,WedsAM,North,7.5,50,0,0,0,50,50
Fall,2018,WedsAM,North,7.0,60,0,0,0,40,40
Fall,2018,WedsAM,North,3.3,50,1,0,0,49,50
Fall,2018,WedsAM,North,2.0,78,2,0,0,20,22
Fall,2018,WedsAM,North,3.2,67,2,0,0,31,33
Fall,2018,WedsAM,North,4.0,65,2,0,0,33,35
Fall,2018,WedsAM,North,2.0,58,1,0,0,41,42
Fall,2018,WedsAM,North,2.0,58,3,0,0,39,42
Fall,2018,MonPM,North,11.0,78,0,0,0,22,22
Fall,2018,MonPM,North,3.0,49,0,0,0,51,51
Fall,2018,MonPM,North,5.0,81,0,0,0,19,19
Fall,2018,MonPM,North,4.9,52,12,0,0,36,48
Fall,2018,MonPM,North,3.1,38,22,0,0,40,62
Fall,2018,MonPM,North,4.2,38,3,8,0,51,62
Fall,2018,MonPM,North,2.7,89,0,0,0,11,11
Fall,2018,MonPM,North,1.0,28,0,0,0,72,72
Fall,2018,MonPM,North,2.4,82,0,0,0,18,18
Fall,2018,MonPM,North,7.0,45,3,0,0,52,55
Fall,2018,MonPM,North,3.0,80,3,0,0,17,20
Fall,2018,MonPM,North,1.0,57,3,6,0,34,43
Fall,2018,MonPM,North,0.5,87,0,0,0,13,13
Fall,2018,MonPM,North,5.0,63,0,0,0,37,37
Fall,2018,MonPM,North,1.0,63,14,0,0,23,37
Fall,2018,MonPM,North,2.0,42,8,0,0,50,58
Fall,2018,MonPM,North,6.0,71,16,0,0,13,29
Fall,2018,WedsPM,North,3.6,38,0,0,0,62,62
Fall,2018,WedsPM,North,6.0,46,0,0,0,54,54
Fall,2018,WedsPM,North,1.0,94,0,0,0,6,6
Fall,2018,WedsPM,North,6.0,96,0,0,0,4,4
Fall,2018,WedsPM,North,5.1,86,0,0,0,14,14
Fall,2018,WedsPM,North,1.5,72,0,0,0,28,28
Fall,2018,WedsPM,North,6.0,68,0,0,0,32,32
Fall,2018,WedsPM,North,8.0,78,0,0,0,22,22
Fall,2018,WedsPM,North,6.0,74,0,0,0,26,26
Fall,2018,WedsPM,North,6.5,81,0,0,0,19,19
Fall,2018,WedsPM,North,3.0,70,0,0,0,30,30
Fall,2018,ThursAM,North,2.5,87,2,0,0,11,13
Fall,2018,ThursAM,North,4.5,83,13,0,0,4,17
Fall,2018,WedsPM,North,5.0,5,28,0,0,67,95
Fall,2018,WedsPM,North,9.0,13,9,0,0,78,87
Fall,2018,WedsPM,North,1.0,9,77,0,0,14,91
Fall,2018,NA,North,0.0,80,0,5,0,15,20
Fall,2018,NA,North,7.0,95,0,5,0,0,5
Fall,2018,NA,North,3.0,84,0,0,0,16,16
Fall,2018,NA,North,0.5,91,0,0,0,9,9
Fall,2018,NA,North,2.0,82,0,0,0,18,18
Fall,2018,WedsAM,North,1.8,80,5,0,15,0,20
Fall,2018,WedsAM,North,4.0,75,0,0,25,0,25
Fall,2018,WedsAM,North,3.0,50,5,0,45,0,50
Fall,2018,WedsPM,North,5.0,97,0,0,0,3,3
Fall,2018,WedsPM,North,6.3,57,0,0,0,43,43
Fall,2018,WedsPM,North,1.1,99,0,0,0,1,1
Spring,2018,TuesAM,South,1,1,0,0,90,9,99
Spring,2018,WedsAM,South,0,8,0,0,74,18,92
Spring,2018,TuesAM,South,2,28,0,0,58,14,72
Spring,2018,WedsAM,South,3.6,27,0,0,41,32,73
Spring,2018,WedsAM,South,2.5,17,0,0,22,61,83
Spring,2018,TuesPM,South,1,48,0,0,2,50,52
Spring,2018,MonPM,South,1.5,21,50,0,0,29,79
Spring,2018,MonPM,South,3.2,60,28,0,0,12,40
Spring,2018,MonPM,South,2.5,74,8,0,0,18,26
Spring,2018,MonPM,South,3.2,57,15,0,0,28,43
Spring,2018,MonPM,South,2.3,50,0,0,0,50,50
Spring,2018,TuesAM,South,1,0,11,0,0,89,100
Spring,2018,TuesAM,South,2,40,37,0,0,23,60
Spring,2018,TuesAM,South,2,54,1,0,0,45,46
Spring,2018,TuesAM,South,4,12,38,0,0,50,88
Spring,2018,TuesAM,South,2,48,39,0,0,13,52
Spring,2018,TuesAM,South,3,38,41,0,0,21,62
Spring,2018,TuesAM,South,2,59,2,0,0,39,41
Spring,2018,TuesAM,South,2,11,54,0,0,35,89
Spring,2018,TuesAM,South,0,63,13,0,0,24,37
Spring,2018,TuesAM,South,4.8,24,26,0,0,50,76
Spring,2018,TuesAM,South,3,46,1,0,0,53,54
Spring,2018,TuesAM,South,0.8,54,37,0,0,9,46
Spring,2018,TuesAM,South,5,39,21,0,0,40,61
Spring,2018,TuesAM,South,3.5,63,3,0,0,34,37
Spring,2018,TuesAM,South,3,56,23,0,0,21,44
Spring,2018,TuesAM,South,2,39,8,0,0,53,61
Spring,2018,TuesAM,South,5.5,48,20,0,0,32,52
Spring,2018,TuesAM,South,6,80,0,0,0,20,20
Spring,2018,TuesPM,South,7,50,20,0,0,30,50
Spring,2018,TuesPM,South,3,15,8,0,0,77,85
Spring,2018,TuesPM,South,6,54,12,0,0,34,46
Spring,2018,TuesPM,South,0.3,49,14,0,0,37,51
Spring,2018,TuesPM,South,2,39,21,0,0,40,61
Spring,2018,TuesPM,South,1.5,9,8,0,0,83,91
Spring,2018,TuesPM,South,0.3,93,0,0,0,7,7
Spring,2018,TuesPM,South,2,74,0,0,0,26,26
Spring,2018,TuesPM,South,2,76,0,0,0,24,24
Spring,2018,TuesPM,South,3,85,10,0,0,5,15
Spring,2018,TuesPM,South,1.5,11,5,0,0,84,89
Spring,2018,TuesPM,South,0.5,86,6,0,0,8,14
Spring,2018,TuesPM,South,2,46,16,0,0,38,54
Spring,2018,TuesPM,South,3,49,18,0,0,33,51
Spring,2018,TuesPM,South,6,81,11,0,0,8,19
Spring,2018,TuesPM,South,7.1,67,0,0,0,33,33
Spring,2018,TuesPM,South,2,72,3,0,0,25,28
Spring,2018,TuesPM,South,4,55,5,0,0,40,45
Spring,2018,TuesPM,South,2,20,65,0,0,15,80
Spring,2018,TuesPM,South,4.8,59,0,0,0,41,41
Spring,2018,TuesPM,South,2.7,67,0,0,0,33,33
Spring,2018,TuesPM,South,5,49,12,0,0,39,51
Spring,2018,TuesPM,South,0,62,24,0,0,14,38
Spring,2018,TuesPM,South,2.3,72,4,0,0,24,28
Spring,2018,TuesPM,South,0.5,23,71,0,0,6,77
Spring,2018,TuesPM,South,12,43,9,0,0,48,57
Spring,2018,TuesPM,South,1,15,55,0,0,30,85
spring,2018,TuesPM,South,1.7,49,0,0,0,51,51
Spring,2018,TuesAM,South,0.3,53,43,0,0,4,47
Spring,2018,TuesPM,South,3,65,20,0,0,15,35
Spring,2018,TuesPM,South,8.3,84,0,0,0,16,16
Spring,2018,TuesPM,South,2,42,29,0,0,29,58
Spring,2018,WedsAM,South,4.4,61,26,0,0,13,39
Spring,2018,WedsAM,South,6,47,11,0,0,42,53
Spring,2018,WedsAM,South,3.9,30,60,0,0,10,70
Spring,2018,WedsAM,South,5,35,48,0,0,17,65
Spring,2018,WedsAM,South,3.1,66,5,0,0,29,34
Spring,2018,WedsPM,South,5,37,0,0,0,63,63
Spring,2018,WedsPM,South,1,69,6,0,0,25,31
Spring,2018,WedsPM,South,3,79,3,0,0,18,21
Spring,2018,WedsPM,South,0.9,92,0,0,0,8,8
Spring,2018,WedsPM,South,5,56,4,0,0,40,44
Spring,2018,WedsPM,South,2.4,91,1,0,0,8,9
Spring,2018,WedsPM,South,2.2,68,9,0,0,23,32
Spring,2018,WedsPM,South,6,87,1,0,0,12,13
Spring,2018,WedsPM,South,2.2,54,35,0,0,11,46
Spring,2018,WedsPM,South,4.2,64,23,0,0,13,36
Spring,2018,WedsPM,South,1.3,65,1,0,0,34,35
Spring,2018,WedsPM,South,1.5,69,4,0,0,27,31
Spring,2018,WedsPM,South,2,52,10,0,0,38,48
Spring,2018,WedsPM,South,5.2,94,1,0,0,5,6
Spring,2018,WedsPM,South,1,51,3,0,0,46,49
Spring,2018,WedsPM,South,1,71,5,0,0,24,29
Spring,2018,WedsPM,South,2.5,63,32,0,0,5,37
Spring,2018,WedsPM,South,1,65,0,0,0,35,35
Spring,2018,WedsPM,South,0,47,8,0,0,45,53
Spring,2018,WedsPM,South,0.9,73,0,0,0,27,27
Spring,2018,WedsPM,South,2,25,71,0,0,4,75
Spring,2018,WedsPM,South,1.3,82,0,0,0,18,18
Spring,2018,WedsPM,South,0.4,70,8,0,0,22,30
Spring,2018,WedsPM,South,0,73,13,0,0,14,27
Spring,2018,TuesAM,South,0,73,12,7,0,8,27
Spring,2018,TuesPM,South,1.5,28,52,9,0,11,72
Spring,2018,TuesAM,South,4,49,8,14,0,29,51
Spring,2018,TuesPM,South,1,44,0,46,0,10,56
Spring,2018,WedsPM,South,1,15,5,68,0,12,85
Spring,2018,MonPM,South,3,43,32,0,0,25,57
Spring,2018,MonPM,South,1.4,54,12,0,0,34,46
Spring,2018,MonPM,South,2.3,47,10,0,0,43,53
Spring,2018,WedsAM,South,6,57,1,0,0,42,43
Spring,2018,WedsPM,South,4.4,50,7,0,0,43,50
Spring,2018,TuesAM,South,5,14,0,0,0,86,86
Spring,2018,TuesAM,South,1.1,29,0,0,0,71,71
Spring,2018,TuesAM,South,1,16,72,0,0,12,84
Spring,2018,WedsAM,South,1.3,85,0,0,0,15,15
Spring,2018,WedsPM,South,1,47,3,0,0,50,53
Fall,2018,ThursAM,South,5.0,85,1,0,0,14,15
Fall,2018,MonAM,South,1.0,30,27,0,0,43,70
Fall,2018,MonAM,South,4.5,23,40,0,0,37,77
Fall,2018,MonAM,South,4.0,62,20,0,0,18,38
Fall,2018,MonAM,South,1.0,57,16,0,0,27,43
Fall,2018,MonAM,South,1.5,25,1,0,0,74,75
Fall,2018,MonAM,South,0.4,37,6,0,0,57,63
Fall,2018,TuesAM,South,7.0,55,30,0,0,15,45
Fall,2018,TuesAM,South,11.6,43,35,0,0,22,57
